TAHUN,KUMPULAN UMUR,JOHOR,KEDAH,KELANTAN,MELAKA,NEGERI SEMBILAN,PAHANG,PERAK,PERLIS,PULAU PINANG,SABAH,SARAWAK,SELANGOR,TERENGGANU,WP KUALA LUMPUR,WP LABUAN
2018,0-4,645,60,101,25,142,74,128,14,282,307,16,2704,12,376,14
2018, 5 - 9,277,92,133,35,100,73,171,19,286,453,24,2686,25,431,15
2018, 10 - 14,416,140,197,46,96,92,241,39,427,475,37,3502,62,578,9
2018,15-19,577,218,261,74,206,101,289,50,553,443,54,4704,69,729,10
2018,20-24,626,209,218,101,298,108,244,39,631,339,79,6317,62,1026,11
2018,25-29,601,198,166,76,184,89,254,41,624,283,67,6072,70,1038,13
2018,30-34,573,207,184,80,160,86,250,29,614,238,81,5233,54,985,12
2018,35-39,480,176,116,54,116,75,195,35,507,185,69,4019,43,763,7
2018,40-44,350,130,107,43,103,54,151,22,480,133,67,2672,26,457,1
2018,45-49,536,160,109,46,180,51,142,21,414,128,68,2122,38,337,3
2018,50-54,258,165,92,40,72,51,162,17,362,116,69,1692,33,241,2
2018,55-59,217,158,83,33,77,42,164,18,299,95,61,1354,20,241,1
2018,60-64,173,115,69,29,51,44,113,10,217,86,55,1004,14,164,3
2018,65-69,79,78,68,19,38,25,89,9,186,66,38,631,11,102,1
2018,70-74,44,38,26,10,19,12,55,4,99,25,18,317,5,69,0
2018,>75,33,46,20,11,22,13,88,2,90,51,20,320,6,54,0
2019,0-4,691,57,219,93,140,135,240,15,184,635,79,4335,23,737,4
2019, 5 - 9,516,90,370,83,96,179,175,13,175,680,120,4442,30,989,2
2019, 10 - 14,883,121,638,143,152,232,229,31,299,693,157,5705,40,1294,1
2019,15-19,1194,154,816,225,230,330,304,29,359,604,213,7144,65,1554,5
2019,20-24,1307,150,671,269,296,273,293,38,439,525,250,9625,65,1959,4
2019,25-29,1193,163,616,235,204,306,279,31,438,508,243,9666,66,2084,3
2019,30-34,1099,146,572,186,217,286,281,26,367,377,265,8410,52,2015,7
2019,35-39,908,118,417,163,188,218,222,14,387,307,219,6612,49,1551,2
2019,40-44,707,86,310,136,135,170,184,11,330,211,184,4452,33,977,5
2019,45-49,789,113,327,147,197,175,181,21,278,205,232,3423,23,691,1
2019,50-54,491,97,297,125,112,164,191,12,235,176,182,2641,29,517,0
2019,55-59,416,97,267,125,110,130,183,19,207,169,169,2296,23,393,2
2019,60-64,295,77,228,99,95,106,169,10,181,132,120,1697,18,287,0
2019,65-69,189,42,132,59,68,89,123,7,110,98,97,1027,10,198,0
2019,70-74,110,40,81,32,37,39,89,4,61,59,59,578,8,88,0
2019,>75,85,36,42,36,28,41,83,7,69,99,59,490,8,90,0
2020,0-4,557,37,145,108,128,108,95,2,31,317,16,2178,13,472,1
2020, 5 - 9,554,33,233,105,134,174,111,6,30,454,25,2593,23,675,0
2020, 10 - 14,882,55,442,175,218,287,160,5,41,494,79,3578,40,837,0
2020,15-19,1255,83,549,265,281,318,207,7,55,484,100,4108,47,938,2
2020,20-24,1402,76,439,315,330,395,225,10,80,366,114,5530,56,1260,0
2020,25-29,1426,60,392,279,292,344,246,6,85,365,140,6028,45,1465,0
2020,30-34,1268,75,343,272,304,361,231,5,70,307,146,5105,36,1434,2
2020,35-39,1002,61,282,222,285,249,216,6,65,251,119,4240,29,1103,1
2020,40-44,776,33,228,173,198,189,163,4,80,182,137,2954,22,759,0
2020,45-49,643,37,172,175,155,174,150,7,58,167,148,2268,19,479,0
2020,50-54,587,54,180,174,145,160,141,8,77,190,145,1838,12,349,1
2020,55-59,437,63,163,162,149,153,161,5,83,152,112,1479,21,287,0
2020,60-64,367,38,156,135,113,144,170,4,88,126,87,1081,15,207,0
2020,65-69,212,26,74,122,68,85,158,3,64,84,58,764,14,152,0
2020,70-74,132,20,59,85,45,48,106,1,49,59,35,472,7,108,0
2020,>75,122,29,32,76,46,31,125,1,87,80,55,419,5,106,0
2021,0-4,150,30,9,70,37,23,30,0,25,135,3,732,2,162,1
2021, 5 - 9,93,24,9,19,35,21,14,0,9,123,3,603,2,123,0
2021, 10 - 14,123,45,19,27,36,21,18,0,12,158,4,873,2,164,0
2021,15-19,132,53,17,48,56,37,37,2,12,142,18,1050,3,170,1
2021,20-24,180,73,33,68,72,42,34,1,29,148,17,1540,4,258,0
2021,25-29,192,74,17,60,73,40,40,2,31,158,34,1815,5,369,0
2021,30-34,188,68,17,56,54,45,46,2,31,182,41,1709,7,373,1
2021,35-39,149,58,16,41,43,34,39,5,23,116,35,1533,5,344,0
2021,40-44,115,23,12,31,47,35,33,2,24,96,41,1309,3,246,0
2021,45-49,106,37,12,25,33,30,35,1,18,84,33,1061,2,207,0
2021,50-54,83,24,13,22,41,18,31,3,26,96,45,896,2,144,1
2021,55-59,83,32,12,38,33,21,43,1,25,85,45,843,2,161,0
2021,60-64,57,34,17,43,30,21,52,1,27,79,40,679,4,111,0
2021,65-69,57,27,9,21,22,12,33,0,32,53,20,462,1,95,1
2021,70-74,32,20,7,19,14,12,34,1,32,44,18,318,4,69,0
2021,>75,35,22,4,23,23,16,38,0,50,64,29,318,1,71,0
